I
1000 Generated by WorldEditor

112  64.66025612 -147.08155955  64.66031253 -147.08169129
111  64.65980264 -147.08438712
112  64.65997357 -147.08578441  64.66019577 -147.08614371
112  64.66136939 -147.08718489  64.66138820 -147.08722882
112  64.66283594 -147.08982017  64.66311797 -147.09034723
112  64.66441530 -147.09184056  64.66445290 -147.09188448
112  64.66484774 -147.09170879  64.66497935 -147.09157703
112  64.66531779 -147.09157703  64.66559982 -147.09153311
111  64.66789722 -147.09371273
112  64.66841000 -147.09335329  64.66849546 -147.09291397
112  64.66842709 -147.09159603  64.66841000 -147.09131646
112  64.66895697 -147.09183565  64.66907661 -147.09231490
112  64.66940137 -147.09475111  64.66943556 -147.09487092
112  64.66972613 -147.09558980  64.66999961 -147.09582943
112  64.67039275 -147.09423192  64.67008508 -147.09243472
111  64.66993125 -147.09179571
112  64.67104472 -147.09313951  64.67112241 -147.09350260
111  64.67090487 -147.09557222
112  64.67165977 -147.09710146  64.67261073 -147.09803702
111  64.67432638 -147.09969098
111  64.67479642 -147.09643947
111  64.67556730 -147.09670311
111  64.67577412 -147.09542887
111  64.67678942 -147.09643947
111  64.67663901 -147.09771371
111  64.67718426 -147.09824098
111  64.67680823 -147.10184401
111  64.67720979 -147.10199561
112  64.67755164 -147.10155974  64.67764488 -147.10101490
111  64.67786242 -147.09923511
112  64.67812658 -147.09887189  64.67826643 -147.09898085
112  64.67988246 -147.10090594  64.67996015 -147.10108755
112  64.68016216 -147.10243148  64.68017769 -147.10286735
111  64.68251460 -147.10476086
111  64.68230778 -147.10682670
111  64.68467682 -147.10898044
112  64.68477083 -147.11095838  64.68454520 -147.11254072
111  64.68373672 -147.11741962
112  64.68401875 -147.11869429  64.68407516 -147.11887010
111  64.68279663 -147.11746357
112  64.68322907 -147.11636472  64.68339829 -147.11535378
111  64.68394355 -147.11082651
112  64.68352990 -147.10959580  64.68311626 -147.10915626
111  64.67880247 -147.10487397
112  64.67835455 -147.10553492  64.67819745 -147.10631428
111  64.67799445 -147.10708977
111  64.67552819 -147.10470397
112  64.67500284 -147.10497686  64.67492111 -147.10549535
112  64.67467595 -147.10765119  64.67467595 -147.10781493
112  64.67492111 -147.10988890  64.67534139 -147.11051654
111  64.67366027 -147.10866089
112  64.67420897 -147.10825155  64.67441911 -147.10765119
111  64.67466427 -147.10454023
112  64.67434906 -147.10342138  64.67409222 -147.10317578
111  64.66510623 -147.09497656
112  64.66467123 -147.09544236  64.66450031 -147.09595068
112  64.66429830 -147.09809288  64.66429830 -147.09816550
112  64.66443815 -147.09976308  64.66467123 -147.10012617
111  64.66280658 -147.09805657
112  64.66328828 -147.09747564  64.66339705 -147.09682208
112  64.66322613 -147.09620484  64.66305520 -147.09602329
111  64.64877033 -147.08310595
112  64.64827464 -147.08334544  64.64822336 -147.08386432
114  64.64832592 -147.08450295  64.64849684 -147.08498192
112  64.66314889 -147.09415018  64.66344920 -147.09444242
112  64.66392468 -147.09391639  64.66404980 -147.09327345
111  64.66379955 -147.09257207
112  64.65012064 -147.07935402  64.64960786 -147.07879522
112  64.64890707 -147.07955359  64.64878742 -147.08027205
113  64.64957368 -147.08150939
112  64.64783309 -147.07186793  64.64789677 -147.07102527
111  64.64762006 -147.07113769
112  64.64738505 -147.07144584  64.64727892 -147.07159454
111  64.64731076 -147.07201588
113  64.64777774 -147.07342857
112  64.64299725 -147.05619830  64.64299725 -147.05610835
111  64.64288167 -147.05580851
112  64.64262483 -147.05700786  64.64256062 -147.05730770
112  64.64284315 -147.05868695  64.64293304 -147.05880688
113  64.64316419 -147.05829716
130 Airport Boundary 104
111  64.64732884 -147.08745667
111  64.64433003 -147.08445643
111  64.64461563 -147.07912267
111  64.64590083 -147.08028943
111  64.64482983 -147.07595575
111  64.64575803 -147.07278883
111  64.64154543 -147.05762096
111  64.64361603 -147.05045372
111  64.65089884 -147.04995368
111  64.65289805 -147.05978780
111  64.65068464 -147.07545571
111  64.66032366 -147.07995607
111  64.67674570 -147.09495727
111  64.68044997 -147.10006942
111  64.68342477 -147.10519709
111  64.68576560 -147.10759000
111  64.68513163 -147.11681982
111  64.68674095 -147.11909878
113  64.68625327 -147.12331487
120 Linear Feature 21
111  64.65687587 -147.08836713 3
112  64.65671586 -147.08777182  64.65679290 -147.08730110 3
111  64.65694106 -147.08637352 3
112  64.65729665 -147.08620739  64.65752185 -147.08649812 3
111  64.66381713 -147.09240968 3
112  64.66397939 -147.09394841  64.66386486 -147.09463972 3
114  64.66342581 -147.09441671  64.66328264 -147.09430521 3
120 Linear Feature 20
111  64.64955408 -147.08154028 3
112  64.64888602 -147.07950189  64.64907997 -147.07868401 3
112  64.64969955 -147.07893566  64.64982347 -147.07902374 3
111  64.65013595 -147.07925023 3
111  64.65623580 -147.08512136 3
112  64.65634843 -147.08651290  64.65614908 -147.08754488 3
114  64.65580428 -147.08738128  64.65549179 -147.08711699 3
120 Linear Feature 19
111  64.67465489 -147.10939293 3
112  64.67459035 -147.10850458  64.67461187 -147.10798497 3
111  64.67472660 -147.10674463 3
111  64.67501067 -147.10482938 3
112  64.67554132 -147.10462824  64.67589270 -147.10499700 3
111  64.67795948 -147.10693735 3
112  64.67813302 -147.10645055  64.67821111 -147.10608544 3
111  64.67833214 -147.10547904 3
112  64.67864451 -147.10482997  64.67881787 -147.10477121 3
111  64.67885500 -147.10480916 3
111  64.68364073 -147.10958988 3
112  64.68398074 -147.11081676  64.68393398 -147.11175432 3
111  64.68336307 -147.11612660 3
116  64.68303335 -147.11730337  64.68283379 -147.11746568
120 Linear Feature 18
111  64.66427246 -147.09940027 3
112  64.66424937 -147.09783530  64.66435331 -147.09697186 3
111  64.66458429 -147.09535292 3
112  64.66512708 -147.09489422  64.66534651 -147.09511008 3
111  64.67435371 -147.10335882 3
112  64.67469792 -147.10454888  64.67464055 -147.10515229 3
111  64.67428200 -147.10832020 3
116  64.67395214 -147.10873924  64.67374418 -147.10882305
120 Linear Feature 17
111  64.65621543 -147.09176928 3
112  64.65615233 -147.09055320  64.65626276 -147.08996359 3
111  64.65628642 -147.08987146 3
112  64.65648363 -147.08996359  64.65655462 -147.09005571 3
111  64.66333701 -147.09616239 3
112  64.66337165 -147.09759246  64.66316377 -147.09829400 3
115  64.66301364 -147.09818607
120 Linear Feature 16
111  64.64823840 -147.08436550 3
112  64.64822626 -147.08326892  64.64835174 -147.08283407 3
112  64.64859056 -147.08291915  64.64868366 -147.08296642 3
111  64.65555095 -147.08914885 3
112  64.65571359 -147.09016259  64.65552428 -147.09080746 3
115  64.65523242 -147.09075218
120 Linear Feature 15
111  64.64779111 -147.07357504 3
111  64.64729531 -147.07202503 3
112  64.64741307 -147.07133125  64.64760074 -147.07111641 3
111  64.64763386 -147.07107344 3
114  64.64786569 -147.07185546  64.64781417 -147.07267186 3
120 Linear Feature 14
111  64.64872671 -147.07660272 3
112  64.64840751 -147.07666304  64.64832719 -147.07650959 3
112  64.64810175 -147.07535710  64.64810713 -147.07513062 3
111  64.64823644 -147.07265195 3
112  64.64803432 -147.07023014  64.64778110 -147.06942489 3
111  64.64360836 -147.05892788 3
112  64.64337961 -147.05762019  64.64337172 -147.05675454 3
112  64.64372642 -147.05410982  64.64414448 -147.05352044 3
111  64.64439690 -147.05339152 3
112  64.64554067 -147.05304157  64.64601395 -147.05328101 3
112  64.64830624 -147.05498574  64.64869890 -147.05579473 3
112  64.65006135 -147.05965980  64.65048057 -147.06206263 3
111  64.65037894 -147.06514775 3
112  64.64970855 -147.07093478  64.64915420 -147.07446767 3
111  64.64897697 -147.07583035 3
116  64.64872671 -147.07660272  64.64858514 -147.07672535
120 Linear Feature 13
111  64.64748104 -147.08334759 3
112  64.64758345 -147.08270289  64.64758790 -147.08263010 3
112  64.64756564 -147.08243253  64.64755673 -147.08239094 3
112  64.64732519 -147.08189182  64.64730293 -147.08171505 3
112  64.64725395 -147.08058163  64.64725395 -147.08052964 3
112  64.64650639 -147.07751857  64.64650100 -147.07750599 3
112  64.64627472 -147.07746825  64.64618852 -147.07754373 3
111  64.64582216 -147.07790860 3
111  64.64551506 -147.07702789 3
111  64.64675961 -147.07490162 3
111  64.64688891 -147.07561877 3
112  64.64686736 -147.07599621  64.64683504 -147.07612202 3
112  64.64682426 -147.07663787  64.64686736 -147.07692724 3
111  64.64731454 -147.07936805 3
112  64.64753543 -147.07948128  64.64765935 -147.07936805 3
112  64.64790718 -147.07911642  64.64792873 -147.07906610 3
112  64.64795028 -147.07866349  64.64788563 -147.07842444 3
112  64.64758930 -147.07695240  64.64754082 -147.07633591 3
111  64.64765934 -147.07526648 3
112  64.64760008 -147.07441094  64.64749233 -147.07400833 3
111  64.64741688 -147.07375351 3
111  64.64254609 -147.05894876 3
112  64.64236936 -147.05688506  64.64243928 -147.05624065 3
111  64.64271351 -147.05466516 3
112  64.64491096 -147.05210366  64.64567453 -147.05212392 3
111  64.64816402 -147.05341794 3
112  64.64941086 -147.05505640  64.64960142 -147.05559036 3
112  64.65066853 -147.06146395  64.65073205 -147.06413376 3
112  64.65036503 -147.06990735  64.64984533 -147.07325160 3
111  64.64923324 -147.07567887 3
112  64.64923166 -147.07667798  64.64930278 -147.07714856 3
112  64.64955925 -147.07792001  64.64960658 -147.07797528 3
112  64.65026129 -147.07852792  64.65034806 -147.07854634 3
112  64.65078190 -147.07828844  64.65090022 -147.07819633 3
112  64.65141295 -147.07815949  64.65157859 -147.07827002 3
111  64.65666078 -147.08233330 3
112  64.65681854 -147.08271856  64.65678269 -147.08296982 3
111  64.65661058 -147.08429312 3
112  64.65671815 -147.08461138  64.65687591 -147.08476214 3
111  64.65861170 -147.08626047 3
111  64.66313843 -147.09064559 3
111  64.66431852 -147.09179837 3
112  64.66472081 -147.09185367  64.66508366 -147.09166936 3
112  64.66553328 -147.09176151  64.66565949 -147.09181680 3
111  64.66991308 -147.09588528 3
111  64.67420011 -147.09978132 3
112  64.67442571 -147.09970020  64.67448645 -147.09945683 3
115  64.67446909 -147.09939598
120 Linear Feature 12
112  64.67388100 -147.10260517  64.67415955 -147.10284067 1
116  64.67443216 -147.10054105  64.67468700 -147.10077656
120 Linear Feature 11
112  64.67324688 -147.10203719  64.67348986 -147.10227269 1
116  64.67385730 -147.09998693  64.67415362 -147.10022243
120 Linear Feature 10
112  64.67276453 -147.10160583  64.67304371 -147.10185770 1
116  64.67336415 -147.09954680  64.67367761 -147.09985592
120 Linear Feature 9
112  64.67217696 -147.10107572  64.67243772 -147.10133890 1
116  64.67279923 -147.09901179  64.67300073 -147.09919187
120 Linear Feature 7
112  64.67162620 -147.10059197  64.67195925 -147.10090106 1
116  64.67230210 -147.09855422  64.67256659 -147.09879463
120 Linear Feature 6
112  64.67108743 -147.10008826  64.67127845 -147.10027143 1
116  64.67181232 -147.09810775  64.67210129 -147.09838251
120 Linear Feature 5
112  64.67056343 -147.09962430  64.67084375 -147.09991378 1
116  64.67124141 -147.09758267  64.67161951 -147.09793310
120 Linear Feature 4
112  64.66994552 -147.09906802  64.67021801 -147.09930265 1
116  64.67074149 -147.09710722  64.67103550 -147.09739212
120 Linear Feature 3
112  64.66938618 -147.09853173  64.66972322 -147.09881664 1
116  64.67020367 -147.09662121  64.67051919 -147.09693963
120 Linear Feature 2
112  64.66897027 -147.09816303  64.66926428 -147.09843118 1
116  64.66974473 -147.09616872  64.67002440 -147.09642010
120 Linear Feature 1
112  64.66828903 -147.09755971  64.66867626 -147.09794517 1
116  64.66909935 -147.09559891  64.66939335 -147.09591733
120 Linear Feature 103
112  64.66772122 -147.09704163  64.66800279 -147.09729363 1
116  64.66842215 -147.09496957  64.66875764 -147.09527758
120 Linear Feature 102
112  64.66703752 -147.09642481  64.66734725 -147.09676361 1
116  64.66779537 -147.09436123  64.66811828 -147.09463843
120 Linear Feature 101
112  64.66606913 -147.09553849  64.66651066 -147.09587728 1
116  64.66689288 -147.09353654  64.66718942 -147.09376754
120 Linear Feature 100
112  64.66531129 -147.09486091  64.66550899 -147.09506110 1
116  64.66624706 -147.09295136  64.66667541 -147.09336715
120 Linear Feature 99
111  64.67485788 -147.10359862 1
116  64.67512055 -147.10335589  64.67518492 -147.10296239
120 Linear Feature 98
112  64.66463659 -147.09423454  64.66463659 -147.09420654 1
116  64.66458267 -147.09291858  64.66488820 -147.09237259
120 Linear Feature 97
111  64.67501037 -147.10419698 1
112  64.67485788 -147.10359862  64.67477074 -147.10353497 1
111  64.67429691 -147.10300026 1
111  64.66464658 -147.09426048 1
116  64.66419925 -147.09473852  64.66407345 -147.09550850
120 Linear Feature 96
112  64.64331444 -147.06085566  64.64353635 -147.06139635 1
116  64.64396088 -147.06047267  64.64408631 -147.06087819
120 Linear Feature 95
112  64.64377756 -147.06218485  64.64399947 -147.06272554 1
116  64.64446259 -147.06182439  64.64463626 -147.06227497
120 Linear Feature 94
112  64.64428892 -147.06355910  64.64450119 -147.06409979 1
116  64.64501255 -147.06326623  64.64525376 -147.06396462
120 Linear Feature 93
112  64.64487299 -147.06543837  64.64508313 -147.06592906 1
116  64.64574857 -147.06527480  64.64600541 -147.06603810
120 Linear Feature 92
112  64.64654244 -147.06723758  64.64634397 -147.06685593 1
116  64.64549173 -147.06721032  64.64519987 -147.06633797
120 Linear Feature 91
112  64.64622723 -147.06955474  64.64646072 -147.07007270 1
116  64.64739468 -147.06950022  64.64790835 -147.07059065
120 Linear Feature 90
111  64.65701442 -147.08534053 1
115  64.65668743 -147.08513813
120 Linear Feature 89
111  64.65044742 -147.07910559 1
112  64.65082100 -147.07891472  64.65093774 -147.07875112 1
112  64.65157984 -147.07869659  64.65181333 -147.07888746 1
111  64.65656719 -147.08259709 1
112  64.65660221 -147.08341516  64.65650882 -147.08390601 1
111  64.65642709 -147.08480589 1
111  64.65668393 -147.08513312 1
116  64.65676566 -147.08567850  64.65674231 -147.08600573
120 Linear Feature 88
112  64.65674849 -147.08988037  64.65690099 -147.09003305 1
116  64.65704259 -147.08879888  64.65714607 -147.08887522
120 Linear Feature 87
112  64.65709161 -147.09019845  64.65726044 -147.09031296 1
116  64.65738570 -147.08910424  64.65746195 -147.08918058
120 Linear Feature 86
112  64.65750552 -147.09055470  64.65768525 -147.09069466 1
116  64.65789765 -147.08956228  64.65803381 -147.08963862
120 Linear Feature 85
112  64.65800152 -147.09100503  64.65825402 -147.09122480 1
116  64.65835305 -147.08997554  64.65849168 -147.09010278
120 Linear Feature 84
112  64.65842731 -147.09138674  64.65857585 -147.09150242 1
116  64.65885311 -147.09040353  64.65892738 -147.09049607
120 Linear Feature 82
112  64.65896478 -147.09186799  64.65916247 -147.09205274 1
116  64.65936017 -147.09092882  64.65951174 -147.09108278
120 Linear Feature 81
112  64.65945524 -147.09230027  64.65969487 -147.09248223 1
116  64.65986861 -147.09133450  64.66001239 -147.09144647
120 Linear Feature 80
112  64.65993624 -147.09276791  64.66025520 -147.09302196 1
116  64.66041467 -147.09187029  64.66061764 -147.09203966
120 Linear Feature 79
112  64.66045092 -147.09319132  64.66071913 -147.09342842 1
116  64.66094385 -147.09232757  64.66114682 -147.09246306
120 Linear Feature 78
112  64.66097132 -147.09369158  64.66127739 -147.09396502 1
116  64.66145293 -147.09280816  64.66156996 -147.09292384
120 Linear Feature 77
112  64.66146643 -147.09414380  64.66166898 -147.09430156 1
116  64.66202006 -147.09331297  64.66218209 -147.09346020
120 Linear Feature 75
112  64.66218650 -147.09479699  64.66245337 -147.09501333 1
116  64.66269300 -147.09394437  64.66287818 -147.09412253
120 Linear Feature 74
111  64.66340102 -147.09458065 1
112  64.66304156 -147.09484789  64.66294898 -147.09507696 1
116  64.66271479 -147.09524239  64.66258953 -147.09516604
120 Linear Feature 73
111  64.68382853 -147.11817442 3
112  64.68370991 -147.11726525  64.68376263 -147.11689542 3
111  64.68452047 -147.11238038 3
112  64.68481043 -147.11023844  64.68481702 -147.10999188 3
112  64.68465322 -147.10913546  64.68454119 -147.10901218 3
111  64.68224331 -147.10697590 3
111  64.68240852 -147.10486805 3
111  64.68021834 -147.10277002 3
111  64.67969538 -147.10425972 3
111  64.67753384 -147.10236694 3
115  64.67718299 -147.10199784
120 Linear Feature 70
111  64.67679936 -147.10153426 3
115  64.67447508 -147.09940068
120 Linear Feature 69
111  64.67835973 -147.10472518 1
116  64.67809152 -147.10367454  64.67759859 -147.10323394
120 Linear Feature 68
111  64.67530792 -147.10392873 1
116  64.67511945 -147.10336951  64.67516294 -147.10299670
120 Linear Feature 67
111  64.67882182 -147.10433035 1
112  64.67835064 -147.10475402  64.67820566 -147.10524548 1
111  64.67795195 -147.10619450 1
112  64.67756775 -147.10617755  64.67730679 -147.10592335 1
111  64.67530067 -147.10394567 1
116  64.67501071 -147.10418291  64.67493823 -147.10460656
120 Linear Feature 66
111  64.67551239 -147.10144964 1
115  64.67509303 -147.10113136
120 Linear Feature 65
111  64.66571990 -147.09245052 1
116  64.66392085 -147.09212713  64.66289941 -147.09246592
120 Linear Feature 64
111  64.67529450 -147.10209771 1
112  64.67509303 -147.10113136  64.67484921 -147.10093109 1
111  64.66573422 -147.09246807 1
116  64.66440850 -147.09335907  64.66390767 -147.09489899
120 Linear Feature 63
111  64.67446522 -147.10817438 1
116  64.67376519 -147.10925148  64.67322877 -147.10889564
120 Linear Feature 62
111  64.68280542 -147.11791227 1
112  64.68345283 -147.11719266  64.68360141 -147.11644824 1
111  64.68433372 -147.11116285 1
112  64.68379245 -147.10887996  64.68303891 -147.10816035 1
111  64.67882707 -147.10431442 1
111  64.67551776 -147.10146394 1
112  64.67529450 -147.10209771  64.67516691 -147.10295515 1
111  64.67446522 -147.10817438 1
116  64.67449733 -147.10996317  64.67480904 -147.11025124
120 Linear Feature 61
111  64.68386369 -147.11645513 4
115  64.68333537 -147.11609187
120 Linear Feature 60
111  64.67462196 -147.10870333 4
115  64.67421673 -147.10834249
120 Linear Feature 59
111  64.66429758 -147.09843321 4
115  64.66331692 -147.09756035
120 Linear Feature 58
111  64.65618976 -147.09069511 4
115  64.65564594 -147.09018290
120 Linear Feature 57
111  64.66372948 -147.09542433 1
116  64.66400494 -147.09606796  64.66398320 -147.09642365
120 Linear Feature 56
111  64.66359175 -147.09605102 1
116  64.66399044 -147.09601715  64.66405568 -147.09566146
120 Linear Feature 55
111  64.66386721 -147.09705034 1
115  64.66409193 -147.09535658
120 Linear Feature 54
111  64.66393245 -147.09506864 1
116  64.66420066 -147.09472989  64.66430215 -147.09417095
120 Linear Feature 53
111  64.65655324 -147.08832406 1
111  64.66370049 -147.09486539 1
116  64.66409918 -147.09542433  64.66405569 -147.09571227
120 Linear Feature 52
111  64.65642782 -147.08891797 1
111  64.66373923 -147.09542793 1
112  64.66409838 -147.09536659  64.66416217 -147.09493807 1
111  64.66441734 -147.09329852 1
112  64.66394688 -147.09212475  64.66334884 -147.09150992 1
111  64.65700993 -147.08534366 1
116  64.65674896 -147.08566541  64.65665473 -147.08607183
120 Linear Feature 51
111  64.66366812 -147.09846208 1
116  64.66397511 -147.09985567  64.66440490 -147.10030654
120 Linear Feature 50
111  64.65630136 -147.08948382 1
111  64.66358918 -147.09604379 1
112  64.66386109 -147.09702750  64.66377338 -147.09747837 1
111  64.66367689 -147.09846208 1
116  64.66293134 -147.09891295  64.66240507 -147.09833912
120 Linear Feature 49
111  64.65607631 -147.08963103 1
112  64.65630586 -147.08949434  64.65643639 -147.08957846 1
112  64.65617083 -147.08901066  64.65623834 -147.08857955 1
112  64.65643189 -147.08895808  64.65650390 -147.08904220 1
112  64.65626535 -147.08836925  64.65634187 -147.08798021 1
111  64.65656692 -147.08832719 1
116  64.65639138 -147.08764373  64.65645439 -147.08714953
120 Linear Feature 48
111  64.64827461 -147.08327688 4
115  64.64752744 -147.08245697
120 Linear Feature 47
111  64.64833312 -147.08311920 5
115  64.64718536 -147.08034414
120 Linear Feature 46
111  64.64861273 -147.07882113 1
116  64.64881407 -147.07874294  64.64888338 -147.07848856
120 Linear Feature 45
111  64.64771777 -147.08256076 1
112  64.64761380 -147.08231794  64.64759399 -147.08223700 1
112  64.64759399 -147.08176293  64.64760885 -147.08162417 1
112  64.64800494 -147.07941569  64.64802969 -147.07933475 1
112  64.64821783 -147.07861786  64.64825744 -147.07852536 1
112  64.64846539 -147.07834035  64.64850005 -147.07836348 1
116  64.64851490 -147.07840973  64.64851985 -147.07842129
120 Linear Feature 42
111  64.64858376 -147.08173344 1
